celebrity_name,ballroom_partner,season,yt_video_id,yt_video_title,yt_channel_title,yt_view_count,yt_like_count,yt_comment_count,yt_publish_date,is_official_channel,confidence_score,query_used,crawl_timestamp
Heather Morris,Maksim Chmerkoskiy,24,up7NtvJXxL8,Heather Morris and Alan Bersten Cha Cha (Week 4) | Dancing With The Stars,Witsay Fan ,48777,404,8,2020-11-27T23:45:01Z,False,35,"""Heather Morris""",2026-01-31T14:19:16.643917
Heather Morris,Maksim Chmerkoskiy,24,AHsBYgnjOOk,Season 24 Female Pro Number w/Heather Morris | Dancing With The Stars,Witsay Fan ,185148,1418,41,2020-11-28T00:30:01Z,False,35,"""Heather Morris""",2026-01-31T14:19:16.643917
Heather Morris,Maksim Chmerkoskiy,24,gYdtb9-hOPw,Heather Morris and Alan Bersten Jive (Week 2) | Dancing With The Stars,Witsay Fan ,62278,552,8,2020-11-27T23:15:01Z,False,35,"""Heather Morris""",2026-01-31T14:19:16.645344
Heather Morris,Maksim Chmerkoskiy,24,pvH3TEscA4Q,Heather Morris and Alan Bersten Tango (Week 3) | Dancing With The Stars,Witsay Fan ,32119,344,16,2020-11-27T23:30:04Z,False,35,"""Heather Morris""",2026-01-31T14:19:16.645344
Heather Morris,Maksim Chmerkoskiy,24,2U4F4a2lYWU,'Glee' Star Heather Morris Gets Sent Home From 'DWTS' Even With Perfect Score,Inside Edition,29280,257,31,2017-04-25T16:35:13Z,False,25,"""Heather Morris""",2026-01-31T14:19:16.645344
Heather Morris,Maksim Chmerkoskiy,24,JYiRRM1vDSE,Heather Morris and Maks Chmerkovskiy Waltz (Week 1) | Dancing With The Stars,Witsay Fan ,26623,203,9,2020-11-27T23:00:07Z,False,35,"""Heather Morris""",2026-01-31T14:19:16.646635
Heather Morris,Maksim Chmerkoskiy,24,Cg7dOfz7ar8,Lea Michele Reveals WORST Glee Song & Reacts To Heather Morris' DWTS Elimination,Clevver News,202479,3331,247,2017-04-27T21:13:55Z,False,0,"""Heather Morris""",2026-01-31T14:19:16.646635
Bonner Bolton,Sharna Burgess,24,6I4l9LqW8Fs,The Bonner Bolton Story | Bulls & Broken Bones to Hollywood and Dancing With The Stars,Rank Ride Ranch,32045,0,5,2025-03-02T19:00:21Z,False,35,"""Bonner Bolton""",2026-01-31T14:19:17.690564
Bonner Bolton,Sharna Burgess,24,zQpwQRCtdtM,Sharna and Bonner Cha Cha #DWTS24,Sharna Burgess Team,7612,46,9,2017-03-21T08:11:01Z,False,40,"""Bonner Bolton""",2026-01-31T14:19:17.690564
Bonner Bolton,Sharna Burgess,24,-7wwp2ZvnP8,"Sharna Burgess and Bonner Bolton, First interview #DWTS24",Sharna Burgess Team,3602,22,1,2017-03-02T20:39:51Z,False,40,"""Bonner Bolton""",2026-01-31T14:19:17.691690
Bonner Bolton,Sharna Burgess,24,2zYy9AMaGGY,EXCLUSIVE: 'Dancing With the Stars' Hottie Bonner Bolton on What He's Looking For in a Girlfriend,Entertainment Tonight,35890,184,8,2017-03-28T00:11:03Z,False,35,"""Bonner Bolton""",2026-01-31T14:19:17.692694
Bonner Bolton,Sharna Burgess,24,dWv7LyL3gck,"Bonner Bolton, Sharna Burgess speak out after 'Dancing With the Stars' elimination",Good Morning America,113403,533,31,2017-05-09T14:01:57Z,True,70,"""Bonner Bolton""",2026-01-31T14:19:17.692694
Bonner Bolton,Sharna Burgess,24,N9vQ0ULfBLk,"""Dancing With the Stars"" Love Connection for Normani Kordei & Bonner Bolton?",LiveKellyandMark,56184,210,0,2017-05-26T16:10:04Z,False,35,"""Bonner Bolton""",2026-01-31T14:19:17.694089
Bonner Bolton,Sharna Burgess,24,uYC9OuT-Sck,Bonner Bolton and Sharna's Viennese Waltz (Week 02) - Dancing with the Stars Season 24!,DWTS DANCES,1628,18,2,2022-06-27T15:47:19Z,False,50,"""Bonner Bolton""",2026-01-31T14:19:17.694089
Bonner Bolton,Sharna Burgess,24,aqixBxiwBjY,Bonner Bolton and Sharna's Foxtrot (Week 04) - Dancing with the Stars Season 24!,DWTS DANCES,1073,11,0,2022-06-27T15:52:03Z,False,50,"""Bonner Bolton""",2026-01-31T14:19:17.695404
Bonner Bolton,Sharna Burgess,24,M726LGH3QEM,Bonner Bolton Shares His DWTS Crush!,Wochit Entertainment,24924,134,24,2017-05-11T22:35:33Z,False,25,"""Bonner Bolton""",2026-01-31T14:19:17.695404
Bonner Bolton,Sharna Burgess,24,g3YTyzzTl7A,Bonner Bolton and Sharna's Paso doble (Week 07) - Dancing with the Stars Season 24!,DWTS DANCES,847,8,0,2022-06-27T15:58:41Z,False,50,"""Bonner Bolton""",2026-01-31T14:19:17.696647
Bonner Bolton,Sharna Burgess,24,rHtcR9dkqyc,Dancing with the Stars 24 - Bonner Bolton & Sharna | LIVE 4-10-17,Sam's Secret Ballroom Collection,1996,16,0,2017-04-15T00:27:43Z,False,50,"""Bonner Bolton""",2026-01-31T14:19:17.697965
Bonner Bolton,Sharna Burgess,24,iHU_zldVOU4,'DWTS': Bonner Bolton Simone Biles and More Stars Bring the Tears as One Is Eliminated,Entertainment Tonight,32037,152,8,2017-04-11T16:19:15Z,False,0,"""Bonner Bolton""",2026-01-31T14:19:17.697965
Bonner Bolton,Sharna Burgess,24,8unMNnEBm4I,Bonner Bolton to compete on 'Dancing With the Stars',Fox News,4888,27,6,2017-03-02T00:10:40Z,False,35,"""Bonner Bolton""",2026-01-31T14:19:17.699147
David Ross,Lindsay Arnold,24,k_aebsWuCfs,David Ross's Jive -Dancing with the stars,United Dance Styles,731,4,1,2022-07-19T02:11:49Z,False,35,"""David Ross""",2026-01-31T14:19:18.764480
David Ross,Lindsay Arnold,24,1WPGifh7URU,"David Ross Talks Dancing With The Stars, Life After Baseball | SC With SVP | May 18, 2017",ESPN,1620,11,1,2017-05-18T12:58:44Z,False,35,"""David Ross""",2026-01-31T14:19:18.765900
David Ross,Lindsay Arnold,24,nU5GMYKsGtU,David Ross & Lindsay Arnold - All dances on DWTS,maria elena guevara,37769,196,8,2018-02-20T01:38:56Z,False,50,"""David Ross""",2026-01-31T14:19:18.767043
David Ross,Lindsay Arnold,24,QmVM4GPuoyw,Behind the Scenes of David Ross' 'Dancing With the Stars' Rehearsals,The Insider,13509,26,0,2017-04-25T00:57:48Z,False,35,"""David Ross""",2026-01-31T14:19:18.767043
Rashad Jennings,Emma Slater,24,rrCK1tQFQJM,Remember when Rashad Jennings won Season 24 of #DWTS? 🕺Stream #CelebrityWheelOfFortune on Hulu!,ABC,4732,110,2,2023-10-19T19:08:53Z,True,75,"""Rashad Jennings""",2026-01-31T14:19:19.279996
Rashad Jennings,Emma Slater,24,ZP8yQfbzO24,Rashad Jennings and Emma Slater Freestyle (Week 10) | Dancing With The Stars,Witsay Fan ,32746,147,5,2020-12-13T22:45:03Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.279996
Rashad Jennings,Emma Slater,24,OL4VDB58QkU,"Rashad Jennings On ""Dancing With the Stars"" Win and What's Next",LiveKellyandMark,21859,118,0,2017-05-24T15:35:50Z,False,35,"""Rashad Jennings""",2026-01-31T14:19:19.281037
Rashad Jennings,Emma Slater,24,_idtleIvquA,Rashad Jennings and Emma Slater Trio Tango w/Witney Carson | Dancing With The Stars,Witsay Fan ,47973,403,4,2020-12-11T23:36:18Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.282037
Rashad Jennings,Emma Slater,24,ovfNUNAfOac,Rashad Jennings and Emma Cha Cha (Week 1) - Dancing With The Stars,Chloe Denai,3132,18,0,2022-09-16T20:55:35Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.283442
Rashad Jennings,Emma Slater,24,tQtDJVtIWV8,Rashad Jennings and Emma Slater Samba (Week 3) | Dancing With The Stars,Witsay Fan ,18586,114,1,2020-12-10T22:30:04Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.284443
Rashad Jennings,Emma Slater,24,FSEKhG1h2M8,Rashad Jennings and Emma Argentine Tango With Witney (Week 8)- Dancing With The Stars,Chloe Denai,2207,26,1,2022-09-17T15:17:59Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.285949
Rashad Jennings,Emma Slater,24,cgQPrlVfykk,Rashad Jennings and Emma Slater Contemporary (Week 4) | Dancing With The Stars,Witsay Fan ,22115,119,6,2020-12-10T22:45:00Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.286950
Rashad Jennings,Emma Slater,24,KQyQLyFAsWU,Rashad Jennings and Emma Jive (Week 8)- Dancing With The Stars,Chloe Denai,338,3,0,2022-09-17T15:02:12Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.288954
Rashad Jennings,Emma Slater,24,fGo4-81ACuo,Rashad Jennings - Dancing With the Stars,Dancing With The Stars,19193,104,4,2017-03-15T18:48:52Z,False,35,"""Rashad Jennings""",2026-01-31T14:19:19.290426
Rashad Jennings,Emma Slater,24,8M_A1uqdGug,EXCLUSIVE: Rashad Jennings Reacts to 'DWTS' Win: 'I Feel Amazing!',Entertainment Tonight,6278,55,13,2017-05-24T13:56:34Z,False,0,"""Rashad Jennings""",2026-01-31T14:19:19.291645
Rashad Jennings,Emma Slater,24,Ua0DgHmgkv4,Rashad Jennings and Emma Viennese Waltz (Week 2) - Dancing With The Stars,Chloe Denai,305,3,0,2022-09-16T20:58:04Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.291645
Rashad Jennings,Emma Slater,24,xghXXaznTWY,EXCLUSIVE: Rashad Jennings Celebrates Making 'DWTS' Finals Talks Upcoming Freestyle Dance,Entertainment Tonight,12837,94,14,2017-05-16T19:08:16Z,False,35,"""Rashad Jennings""",2026-01-31T14:19:19.292936
Rashad Jennings,Emma Slater,24,6XxUERbydrM,'Dancing With The Stars': Rashad Jennings Credits Emma Slater For Helping Him Be So Graceful,Access Hollywood,26705,147,20,2017-03-28T22:51:29Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.292936
Rashad Jennings,Emma Slater,24,q4Dv0MRImUo,Rashad & Emma's Cha Cha- Dancing With the Stars (Premiere),Griffin Marini,3090,31,2,2017-04-03T00:42:33Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.294437
Rashad Jennings,Emma Slater,24,nsZC2EcZSUI,Dancing with the Stars 24 - Rashad Jennings & Emma 2nd Semifinals Performance | LIVE 5-15-17,Sam's Secret Ballroom Collection,3554,15,0,2017-05-20T21:31:05Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.295528
Rashad Jennings,Emma Slater,24,sjLSJV2EEZw,Rashad Jennings and Emma Slater Rumba (Week 9) | Dancing With The Stars,Witsay Fan ,32169,231,5,2020-12-13T22:00:18Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.295528
Rashad Jennings,Emma Slater,24,_yB7Czj7FAo,Rashad Jennings and Emma Slater Cha Cha/Tango Fusion (Week 10) | Dancing With The Stars,Witsay Fan ,9085,70,7,2020-12-13T23:00:06Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.296640
Rashad Jennings,Emma Slater,24,feIHYvehhMw,Rashad Jennings and Emma Slater Quickstep (Week 9) | Dancing With The Stars,Witsay Fan ,3318,30,1,2020-12-13T22:15:01Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.296640
Rashad Jennings,Emma Slater,24,CYMFzmmErps,Rashad Jennings and Emma Paso Doble (Week 7)- Dancing With The Stars,Chloe Denai,570,4,2,2022-09-17T14:47:45Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.298060
Rashad Jennings,Emma Slater,24,E0IeIZIY_bg,Rashad Jennings and Emma Foxtrot (Week 5) - Dancing With The Stars,Chloe Denai,241,4,0,2022-09-17T14:20:41Z,False,50,"""Rashad Jennings""",2026-01-31T14:19:19.298060
Rashad Jennings,Emma Slater,24,rKsQdRkYOJQ,DWTS Season 24 - Rashad Jennings and Emma Slater’s Winning Moment (Finale),Michael & Jowita Fans,41375,286,16,2021-03-28T04:04:42Z,False,40,"""Rashad Jennings""",2026-01-31T14:19:19.299422
Rashad Jennings,Emma Slater,24,wUnG5LIYJz0,Rashad Jennings Asks: How far can Demarcus Ware go in Dancing with the Stars? | PROPS,Yahoo! Sports,185,0,0,2018-10-17T21:33:55Z,False,35,"""Rashad Jennings""",2026-01-31T14:19:19.299422
Rashad Jennings,Emma Slater,24,RsbJ6cjYpwU,Emma Slater and Rashad Jennings Winning DWTS,The Joe Vulpis Podcast,9490,232,0,2024-11-08T20:00:22Z,False,40,"""Rashad Jennings""",2026-01-31T14:19:19.300776
Rashad Jennings,Emma Slater,24,4fpT3FeSHfk,Mirror Ball winner Rashad Jennings said he is creating a 'DWTS'-themed room in his house,Good Morning America,87184,553,213,2017-05-24T14:02:24Z,True,75,"""Rashad Jennings""",2026-01-31T14:19:19.300776
Chris Kattan,Witney Carson,24,k229rkRH42Y,Chris Kattan - Dancing with the Stars Performances,My Dear Journal,32169,167,35,2017-03-28T06:26:35Z,False,35,"""Chris Kattan""",2026-01-31T14:19:19.871357
Normani,Valentin Chmerkovskiy,24,YS7A9cJaLZ0,Normani and Val Chmerkovskiy Trio Jive w/Alan (Week 8) | Dancing With The Stars,Witsay Fan ,56304,653,9,2020-12-03T23:45:00Z,False,50,"""Normani""",2026-01-31T14:19:20.903839
Frankie Muniz,Witney Carson,25,WSglrjRKU8k,Frankie Muniz: Bryan Cranston Told Me Not To Do “Dancing With The Stars” | CONAN on TBS,Team Coco,617471,6851,396,2017-09-20T17:22:45Z,False,35,"""Frankie Muniz""",2026-01-31T14:19:22.788585
Jordan Fisher,Lindsay Arnold,25,eLW4DEIlWsg,Jordan Fisher and Lindsay Arnold Freestyle (Week 10) | Dancing With The Stars,Witsay Fan ,307749,1599,51,2020-11-15T00:30:02Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.307349
Jordan Fisher,Lindsay Arnold,25,LUhF1C9wi98,Jordan Fisher and Lindsay's Jive (Week 09) - Dancing with the Stars Season 25!,DWTS DANCES,88493,615,14,2022-06-27T05:57:59Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.308467
Jordan Fisher,Lindsay Arnold,25,V4fZ9MLQ14k,Jordan Fisher and Lindsay Arnold Salsa Trio w/Corbin Bleu (Week 8) | Dancing With The Stars,Witsay Fan ,456465,3461,96,2020-11-15T00:00:03Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.308467
Jordan Fisher,Lindsay Arnold,25,ay8bJ8Qgci8,Jordan Fisher and Lindsay Arnold Disney Foxtrot (Week 5) | Dancing With The Stars,Witsay Fan ,162340,1207,13,2020-11-14T23:30:00Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.309853
Jordan Fisher,Lindsay Arnold,25,B3mVRBg1E-w,Jordan Fisher and Lindsay Arnold Redemption Charleston (Week 10) | Dancing With The Stars,Witsay Fan ,135675,788,25,2020-11-15T00:30:00Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.310993
Jordan Fisher,Lindsay Arnold,25,781LqfqVpGs,Jordan Fisher and Lindsay's Rumba (Week 06) - Dancing with the Stars Season 25!,DWTS DANCES,21903,172,2,2022-06-27T05:26:38Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.310993
Jordan Fisher,Lindsay Arnold,25,gRZ6NEPHMUo,Jordan Fisher and Lindsay Arnold Contemporary (Week 4) | Dancing With The Stars,Witsay Fan ,121412,960,19,2020-11-14T23:15:06Z,False,50,"""Jordan Fisher""",2026-01-31T14:19:23.310993
Victoria Arlen,Valentin Chmerkovskiy,25,IKHtM331oSM,Victoria Arlen Tells Her Inspirational Story of Being Paralyzed to Being on Dancing With The Stars,SWAY'S UNIVERSE,22666,329,31,2018-04-11T21:12:12Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.388818
Victoria Arlen,Valentin Chmerkovskiy,25,QZC2eJj6ejU,Val Chmerkovskiy Reveals His Major Concern About 'DWTS' Partner Victoria Arlen,Entertainment Tonight,18282,127,5,2017-10-30T21:25:36Z,False,40,"""Victoria Arlen""",2026-01-31T14:19:25.390311
Victoria Arlen,Valentin Chmerkovskiy,25,OXPU-U7YJ9E,Victoria Arlen and Val's Quickstep (Week 03) - Dancing with the Stars Season 25!,DWTS DANCES,1686,9,1,2022-07-08T02:50:39Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.390311
Victoria Arlen,Valentin Chmerkovskiy,25,9GF62fw35Es,Victoria Arlen and Val's Rumba (Week 02) - Dancing with the Stars Season 25!,DWTS DANCES,885,9,1,2022-07-08T02:48:25Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.391756
Victoria Arlen,Valentin Chmerkovskiy,25,ZAqIeXeb5z8,Victoria Arlen and Val's Cha Cha (Week 01) - Dancing with the Stars Season 25!,DWTS DANCES,3825,21,1,2022-07-08T02:44:18Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.391756
Victoria Arlen,Valentin Chmerkovskiy,25,87dCNnVORZw,'DWTS': Victoria Arlen Had 'Scary' Injury In Dress Rehearsal Where She Couldn't Walk,Access Hollywood,15869,94,4,2017-11-07T17:27:36Z,False,25,"""Victoria Arlen""",2026-01-31T14:19:25.392902
Victoria Arlen,Valentin Chmerkovskiy,25,i5T959imP_4,Victoria Arlen calls 'DWTS' elimination 'devastating',Good Morning America,35769,201,28,2017-11-14T15:26:29Z,True,45,"""Victoria Arlen""",2026-01-31T14:19:25.394156
Victoria Arlen,Valentin Chmerkovskiy,25,5UIztBFG31E,DWTS victoria arlen clip,Life with The Princess,9762,76,1,2017-10-14T02:58:03Z,False,25,"""Victoria Arlen""",2026-01-31T14:19:25.394156
Victoria Arlen,Valentin Chmerkovskiy,25,3Emak61upwA,Victoria Arlen and Val's Viennese Waltz (Week 07) - Dancing with the Stars Season 25!,DWTS DANCES,2115,27,2,2022-07-08T02:57:26Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.395361
Victoria Arlen,Valentin Chmerkovskiy,25,aZPLq8gpxqQ,Victoria Arlen and Val's Foxtrot (Week 04) - Dancing with the Stars Season 25!,DWTS DANCES,3929,44,4,2022-07-08T02:52:01Z,False,35,"""Victoria Arlen""",2026-01-31T14:19:25.395361
